23215;12/03/2018 17:30;12/03/2018 18:30;;23;21
23216;12/03/2018 18:30;12/03/2018 19:35;;9;21
23217;12/03/2018 19:35;12/03/2018 21:20;18020251;1;21
23218;12/03/2018 21:20;12/03/2018 21:20;18020251;2;21
23220;12/03/2018 21:20;12/03/2018 22:00;;3;22
24061;13/03/2018 06:00;13/03/2018 07:10;;3;6
24062;13/03/2018 07:10;13/03/2018 08:30;18030017;1;6
24063;13/03/2018 08:30;13/03/2018 09:40;;11;6
24064;13/03/2018 09:40;13/03/2018 11:30;18030017;1;6
24068;13/03/2018 11:30;13/03/2018 12:30;;23;6
24069;13/03/2018 12:30;13/03/2018 13:25;18030017;1;6
24074;13/03/2018 13:25;13/03/2018 13:25;18030017;2;7
24079;13/03/2018 13:25;13/03/2018 14:00;;3;7
24081;13/03/2018 14:00;13/03/2018 14:10;;3;8
24082;13/03/2018 14:10;13/03/2018 17:30;18030041;1;8
24083;13/03/2018 17:30;13/03/2018 18:30;;23;8
24084;13/03/2018 18:30;13/03/2018 19:40;18030041;1;8
24087;13/03/2018 19:40;13/03/2018 19:40;18030041;2;8
24091;13/03/2018 19:40;13/03/2018 21:45;;9;9
24092;13/03/2018 21:45;13/03/2018 21:50;18020244;1;9
24093;13/03/2018 21:50;13/03/2018 22:00;;20;9
27287;14/03/2018 06:00;14/03/2018 06:56;;20;28
27288;14/03/2018 06:56;14/03/2018 11:05;18020244;1;28
27293;14/03/2018 11:05;14/03/2018 11:05;18020244;2;29
27297;14/03/2018 11:05;14/03/2018 11:55;;3;29
27300;14/03/2018 11:55;14/03/2018 14:00;18020245;1;30
27301;14/03/2018 14:00;14/03/2018 16:00;18020245;1;30
27302;14/03/2018 16:00;14/03/2018 16:00;18020245;2;30
27305;14/03/2018 16:00;14/03/2018 17:35;;3;30
27309;14/03/2018 17:35;14/03/2018 17:45;18020242;1;30
27310;14/03/2018 17:45;14/03/2018 18:45;;23;31
27311;14/03/2018 18:45;14/03/2018 21:50;18020242;1;31
27313;14/03/2018 21:50;14/03/2018 22:00;;20;31
27955;15/03/2018 06:00;15/03/2018 06:50;;20;95
27956;15/03/2018 06:50;15/03/2018 07:25;;11;95
27957;15/03/2018 07:25;15/03/2018 07:30;;20;95
27958;15/03/2018 07:30;15/03/2018 08:10;18020242;1;95
27964;15/03/2018 08:10;15/03/2018 08:10;18020242;2;96
27968;15/03/2018 08:10;15/03/2018 09:10;;3;96
27972;15/03/2018 09:10;15/03/2018 13:05;18020243;1;97
27973;15/03/2018 13:05;15/03/2018 13:05;18020243;2;97
27974;15/03/2018 13:05;15/03/2018 13:40;;3;97
27975;15/03/2018 13:40;15/03/2018 14:00;;10;97
27976;15/03/2018 14:00;15/03/2018 15:50;;22;97
27977;15/03/2018 15:50;15/03/2018 16:50;;3;97
27978;15/03/2018 16:50;15/03/2018 17:30;18030026;1;97
27979;15/03/2018 17:30;15/03/2018 18:30;;23;97
27980;15/03/2018 18:30;15/03/2018 21:50;18030026;1;98
27982;15/03/2018 21:50;15/03/2018 22:00;;20;98
32659;16/03/2018 06:00;16/03/2018 06:50;;20;65
32660;16/03/2018 06:50;16/03/2018 07:30;18030026;1;66
32665;16/03/2018 07:30;16/03/2018 07:30;18030026;2;66
32669;16/03/2018 07:30;16/03/2018 08:35;;3;66
32672;16/03/2018 08:35;16/03/2018 11:55;18030027;1;67
32673;16/03/2018 11:55;16/03/2018 11:55;18030027;2;67
32674;16/03/2018 11:55;16/03/2018 12:50;;3;67
32675;16/03/2018 12:50;16/03/2018 13:30;18030037;1;67
32676;16/03/2018 13:30;16/03/2018 14:00;;22;67
32677;16/03/2018 14:00;16/03/2018 16:40;18030037;1;67
32681;16/03/2018 16:40;16/03/2018 16:40;18030037;2;68
32684;16/03/2018 16:40;16/03/2018 17:30;;9;68
32687;16/03/2018 17:30;16/03/2018 18:30;;23;68
32688;16/03/2018 18:30;16/03/2018 19:40;;9;68
